ngiemboon,en,,,,
"Y?sô gÿo ne ?gwá ?gi?e j?’ ntsèm ts??? Galilea, ?zí’i p??a nò Ssé ts???*mendá cú’tè pà Yuda, ésá’a nk?? mbò?o g?ie é shwó?ó p??a pá’*lefù? Ssé ee pú’u, ?n? ?gÿo nyì? g?ie à g?iin p?? y?? ntí gu? w?? ka y?? ntí*l??’ w??, ze?e","And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and healing all manner of sickness and all manner of disease among the people. # https://www.bible.com/fr/bible/1/MAT.4.KJV #23",,,,
"Á gw?? pú’u, mé l?g lezí? sé ésa ngwò? Siria ntsèm. Mé ne ?d?g? p??a metsèm pie megu? ntí ntí laa ná p??b, é p??a pie*messé tepò? la ne ?bue w??b, mb?? pàgwe gwá’, lâ megà?a kw??’te ?tóo, Y?sô gÿo p?? ze?e.","And his fame went throughout all Syria: and they brought unto him all sick people that were taken with divers diseases and torments, and those which were possessed with devils, and those which were lunatick, and those that had the palsy; and he healed them. # https://www.bible.com/fr/bible/1/MAT.4.KJV #24",,,,
"Àlá’ menù? menù? fô Galilea, éfô ts??? metÿ?so? legém, éfô Yerósalem, éfô J?idea tà mb?? ná yets?? nz?? ntse Jurde?, ?c??me nzèm yé.","And there followed him great multitudes of people from Galilee, andfromDecapolis, andfromJerusalem, andfromJudæa, andfrombeyond Jordan. # https://www.bible.com/fr/bible/1/MAT.4.KJV #25",,,,
"Y?sô gyá pá’ menù? lá’ t?, ?kw??’? ndùm lekw?’??, ?né?e ssé,*ngà?a kwò yé tó ?k???te yé.","And seeing the multitudes, he went up into a mountain: and when he was set, his disciples came unto him: # https://www.bible.com/fr/bible/1/MAT.5.KJV #1",,,,
Á zye léla’te nò mbwó p??b ngie:,"and he opened his mouth, and taught them, saying, # https://www.bible.com/fr/bible/1/MAT.5.KJV #2",,,,
mélà’mie p?? ge gÿo jÿó pì*lefù? Ssé.,Blessedarethe poor in spirit: for their's is the kingdom of heaven. # https://www.bible.com/fr/bible/1/MAT.5.KJV #3,,,,
mélà’mie Ssé ge gÿo tsí’i ntse nÿ??g m??b,Blessedarethey that mourn: for they shall be comforted. # https://www.bible.com/fr/bible/1/MAT.5.KJV #4,,,,
«mélà’mie p?? ge gÿo jÿó ngwò?».,Blessedarethe meek: for they shall inherit the earth. # https://www.bible.com/fr/bible/1/MAT.5.KJV #5,,,,
«mélà’mie Ssé ge gÿo p?? gÿo y?? mmó».,Blessedarethey which do hunger and thirst after righteousness: for they shall be filled. # https://www.bible.com/fr/bible/1/MAT.5.KJV #6,,,,
«mélà’mie e Ssé ge gÿo ts???n mezì?e m??b y??b».,Blessedarethe merciful: for they shall obtain mercy. # https://www.bible.com/fr/bible/1/MAT.5.KJV #7,,,,
«mélà’mie p?? ge gÿo gyá Ssé».,Blessedarethe pure in heart: for they shall see God. # https://www.bible.com/fr/bible/1/MAT.5.KJV #8,,,,
«mélà’mie mé ge lá’ tó?o w??b lê pú? Ssé».,Blessedarethe peacemakers: for they shall be called the children of God. # https://www.bible.com/fr/bible/1/MAT.5.KJV #9,,,,
«mélà’mie p?? ge gÿo jÿó pì*lefù? Ssé».,Blessedarethey which are persecuted for righteousness' sake: for their's is the kingdom of heaven. # https://www.bible.com/fr/bible/1/MAT.5.KJV #10,,,,
"«Pi ee pàshÿó mbò?o ná f??’ gie mé ge ne zoonte g?í, é ne k??e g?í, é tÿ??g? sóon ntí ntí twó pi mélà’ m???n».","Blessed are ye, whenmenshall revile you, and persecuteyou, and shall say all manner of evil against you falsely, for my sake. # https://www.bible.com/fr/bible/1/MAT.5.KJV #11",,,,
"Pi kág ?z?b ?zí?, mélà’mie e Ssé ny?té máa máa nts?’?? fà’ né ?d?g? ?z?í’te g?í. Pi z??n ?zsé ngie á gí?e ?gw?? p?? nd?? nd?? pá’, mé la gÿo nà pà*nts?ì nk?? Ssé pie é la v?g ?tó tá pi tó.","Rejoice, and be exceeding glad: for greatisyour reward in heaven: for so persecuted they the prophets which were before you. # https://www.bible.com/fr/bible/1/MAT.5.KJV #12",,,,
"Pi z?? ngwá? ts??? njÿó. Ngwá? ee pé’e ?gw?? gie é l??n ?c??’ ?debe lebe, mbà à l??n ?gw?? mé gÿo lêk?? tá é gí?e ?d?m? É té gí?e ?ku’u nà ts?? nò w??, mé c??’ ?g?iin p?? lepÿ?? p?, mé l?g mekwò ?ne?te.","Ye are the salt of the earth: but if the salt have lost his savour, wherewith shall it be salted? it is thenceforth good for nothing, but to be cast out, and to be trodden under foot of men. # https://www.bible.com/fr/bible/1/MAT.5.KJV #13",,,,
"Pi z?? ky??’ ts??? njÿó. Mé l??n ?kw??? tÿ?so? ndùm lekw?’??, mbà à l??n ?gw?? á le lyeen.",Ye are the light of the world. A city that is set on an hill cannot be hid. # https://www.bible.com/fr/bible/1/MAT.5.KJV #14,,,,
"Mé ké tè pi? ?dy?? lâm, ?d?g ngw??? ?kábte w??. Mé ly?? lâm, ?tÿ??g p?? ndùm tápelè, á ky?’ p??a metsèm pie ée ndá.","Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house. # https://www.bible.com/fr/bible/1/MAT.5.KJV #15",,,,
"Aa y?? tá á po? ngie pi ky?’ p??a meso? tá p?? gyá nò mbò?o gie pi ne ?gÿo, ?deen ?ké ?gu’te Tá g?i g?ie aa tÿ? lepwó.","Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven. # https://www.bible.com/fr/bible/1/MAT.5.KJV #16",,,,
"Tà pi kwa? ngie mè? n ka t? lépyág*lep?? M?sê ka p?? nò gie pà*nts?ì nk?? Ssé la g??n w??. Ng??, n ka tè tóo lépyág w??, mè? n ka t? p?? légÿo mé cwo?o ?jú’.","Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil. # https://www.bible.com/fr/bible/1/MAT.5.KJV #17",,,,
"Tà mè? n ké shwó?ó g?í, kwà’ nén??, lefà? p?? tsetsá’ ge lá’ ?né?e p?? lêk?? w??, mù? mél?ga nò lê pilé, mú? mémmó lê pilé le nà*lep?? pyé. À ké ?gw?? p?? pú’u, tà ?kú f??’ gie àk??k? gie*lep?? g??n à pumté.","For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled. # https://www.bible.com/fr/bible/1/MAT.5.KJV #18",,,,
"Pú’u la, nyì? g?ie à g??a nà mb??, éfó f?a p?? ts?? mù? méts?? ?bi? ?zí’i ts?? p??a légÿo y??b pá’ yé, mé ge lá’ náa yé tàa nzèm ts??? nò*lefù? Ssé. À pi? ?g?a ná nyì? g?ie à tÿ?g?? kwó m?, ?bi? ?zí’i pets?? p??a légÿo pú’u, mé lá’ ?náa yé tàa mvfò ts??? nò*lefù? Ssé.","Whosoever therefore shall break one of these least commandments, and shall teach men so, he shall be called the least in the kingdom of heaven: but whosoever shall do and teachthem, the same shall be called great in the kingdom of heaven. # https://www.bible.com/fr/bible/1/MAT.5.KJV #19",,,,
"!Áa y?? tá mè? n g??n né pi ngie: Pi l??n té kú’te*lep?? mbò?o ?t??g*pàkyagte lep?? M?sê lâ pà*farisay w??, mbà pi t? ?dá’a ?kúu ná nò*lefù? Ssé w??.","For I say unto you, That except your righteousness shall exceedthe righteousnessof the scribes and Pharisees, ye shall in no case enter into the kingdom of heaven. # https://www.bible.com/fr/bible/1/MAT.5.KJV #20",,,,
"Pi la jú’ ngie mé la g??n mbwó pàmang?a nj??’ pégè ngie: «Tà nyì? lá’ ?z?é nyì?, ?g??n ngie: Nyì? l??n ?z?é nyì?, mbà mé ge l?g? yé g?a mvfò nts??’te mentsa?».","Ye have heard that it was said by them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment: # https://www.bible.com/fr/bible/1/MAT.5.KJV #21",,,,
"Tá’ mè? n g???n y???n né pi ngie: Nyì? l??n ?gyá?a ló? nà f?? we, mé g?iin lél?g? yé ?g?a mvfò nts??’te mentsa?. Nyì? g?ie à to?ó f?? we lê g??g??, mé g?iin lél?g? yé g?ie à t?? ?g?a mvfò cú’tè pàsá’a lá’. Nyì? g?ie à to?ó f?? we lê tè zsé Ssé, à ku’u nyì? g?ie ?gw?? Ssé ma’a yé mm??g.","but I say unto you, That whosoever is angry with his brother without a cause shall be in danger of the judgment: and whosoever shall say to his brother, Raca, shall be in danger of the council: but whosoever shall say, Thou fool, shall be in danger of hell fire. # https://www.bible.com/fr/bible/1/MAT.5.KJV #22",,,,
"Pú’u la, nyì? l??n ?d?g shúm pw??’ sé ?tóo j?’ gie mé nu?e pw??’ wó lénáa mbwo Ssé, ?kímte ngie à ka f?a nò mbwó f?? we,","Therefore if thou bring thy gift to the altar, and there rememberest that thy brother hath ought against thee; # https://www.bible.com/fr/bible/1/MAT.5.KJV #23",,,,
"àngà? nyé shúm pw??’ sé, ?z??n ?g?a ?gyá f?? we p?? yé maga y?? nò, tá á leen ?ké ?bi? nzèm ?ná shúm pw??’ sé á mbwó Ssé.","leave there thy gift before the altar, and go thy way; first be reconciled to thy brother, and then come and offer thy gift. # https://www.bible.com/fr/bible/1/MAT.5.KJV #24",,,,
"Nyì? l??n ne ?k??a nyì? nj?, p?? yé nyé mánzsè ne ?gee j?’e ntsa?, á fa’ shÿó p?? yé mag ntsa?, tà á té pú’u w??, mbà à ge kúu mbwó tándá pà zá’ ntsa?, à náa ngà? mbwó pàpy??b ndá ts??, p?? g?a ?ma’a yé ts??.","Agree with thine adversary quickly, whiles thou art in the way with him; lest at any time the adversary deliver thee to the judge, and the judge deliver thee to the officer, and thou be cast into prison. # https://www.bible.com/fr/bible/1/MAT.5.KJV #25",,,,
"Tà mè? shwó?ó g?í, kwà’ nén??, àngà? ge lá’ gw? k??? ts??, é pú to?o k???k?? gie mé ne ?k??a mbwo yé tà ts?? le pyé.","Verily I say unto thee, Thou shalt by no means come out thence, till thou hast paid the uttermost farthing. # https://www.bible.com/fr/bible/1/MAT.5.KJV #26",,,,
Pi la jú’ ngie mé la g??n ngie: «Tà nyì? lá’ ?gÿo gÿ??».,"Ye have heard that it was said by them of old time, Thou shalt not commit adultery: # https://www.bible.com/fr/bible/1/MAT.5.KJV #27",,,,
"!Tá mè? n g??n né pi ngie: Nyì? l??n ?díe manzw? ?ts???n á zsé ngie áa ts??? nt??m yé mámbà?a, mbà à n? ?dá’ ?gÿo gÿ??.","but I say unto you, That whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart. # https://www.bible.com/fr/bible/1/MAT.5.KJV #28",,,,
"Lejÿ??g shú sé pwó t?? l??n ?tsóte gú ?? f?a nò, ?? ts??’ ?gwá’a taa taa ng??a sh??sh??a. Mvfò ee pá’ ?gw?? ts?? tà’ ná mekèm mbùm mú pyé, mé pi? ?ké le lá’ ?ma’a gú ts??? mm??g w??.","And if thy right eye offend thee, pluck it out, and castitfrom thee: for it is profitable for thee that one of thy members should perish, and notthatthy whole body should be cast into hell. # https://www.bible.com/fr/bible/1/MAT.5.KJV #29",,,,
"Àpwó jú ye t?? l??n ?tsóte gú ?? f?a nò, ?? zá’ ?gwá’a taa ng??a sh??sh??a. Mvfò ee pá’ ?gw?? ts?? tà’ ná mekèm mbùm mú pyé, mé pi? ?ké le lá’ ?ma’a gú ts??? mm??g w??.","And if thy right hand offend thee, cut it off, and castitfrom thee: for it is profitable for thee that one of thy members should perish, and notthatthy whole body should be cast into hell. # https://www.bible.com/fr/bible/1/MAT.5.KJV #30",,,,
"Mé la gí?e ?g??n ngie: «Nyì? l??n ?gee ?jwo? nzw? we, á náa ?wà’ne lél?g ?jwo?o yé».","It hath been said, Whosoever shall put away his wife, let him give her a writing of divorcement: # https://www.bible.com/fr/bible/1/MAT.5.KJV #31",,,,
"!Tá’ mè?, n g??n né pi ngie: «Nyì? l??n ?jwo?o nzw? we, té gw?? gie manzw? gÿ? gÿ??, mbà a tsoté yé légÿo gÿ?? pá’ à l??n ?g?a ?z??’? ts?? nyì?. Nyì? pi? ?z??’? manzw? g?ie nd?m we jwo?ó yé, mbà à gÿ? gÿ??».","but I say unto you, That whosoever shall put away his wife, saving for the cause of fornication, causeth her to commit adultery: and whosoever shall marry her that is divorced committeth adultery. # https://www.bible.com/fr/bible/1/MAT.5.KJV #32",,,,
"Pi la gí? ?jú’ ngie mé la g??n mbwó pàmang?a nj??’ pégè ngie: «Nyì? lá’ ?g??n nò tà ?d?g lezí? Ssé ?k?a, àngà? gÿo y?? nò».","Again, ye have heard that it hath been said by them of old time, Thou shalt not forswear thyself, but shalt perform unto the Lord thine oaths: # https://www.bible.com/fr/bible/1/MAT.5.KJV #33",,,,
"!Tá’, mè? n g??n né pi ngie: Tà pi g??n nò tà ?d?g lezí? Ssé ?k?a. Tà pi l?g? tÿ? lepwó ?k?a, á nue aa j?’ gie e Ssé ?né?e wó","but I say unto you, Swear not at all; neither by heaven; for it is God's throne: # https://www.bible.com/fr/bible/1/MAT.5.KJV #34",,,,
"Tà pi l?g? tsetsá’ ?k?a, á nue ee ntÿ?g?? mekwó Ssé. Tà pi l?g? Yerósalem ?k?a, á nue aa tÿ?so? fù? we lÿò",nor by the earth, for it is his footstool: neither by Jerusalem, for it is the city of the great King. # https://www.bible.com/fr/bible/1/MAT.5.KJV #35,,
"Tè ké ?d?g? twó jú ?k?a nò, á nue ?gw?? ?? légÿo tà’ nno?o twó jù f??g w??, é ke légÿo é sí? w??.","Neither shalt thou swear by thy head, because thou canst not make one hair white or black. # https://www.bible.com/fr/bible/1/MAT.5.KJV #36",,,,
"Oon g?i gw?? p?? oon, ng?? g?i gw?? p?? ng??, àgie mé k?i’i m? fóo mbwó Sátà.","But let your communication be, Yea, yea; Nay, nay: for whatsoever is more than these cometh of evil. # https://www.bible.com/fr/bible/1/MAT.5.KJV #37",,,,
"Pi la jú’ ngie mé la g??n ngie: «Nyì? pyág lejÿ??g nyì?, àngà? pyág sé, nyì? ts??’ leso? nyì?, àngà? ts??’ sé».","Ye have heard that it hath been said, An eye for an eye, and a tooth for a tooth: # https://www.bible.com/fr/bible/1/MAT.5.KJV #38",,,,
"!Tá’ mè? n g??n né pi ngie: Tà pi ts??’? pi?é nò nyì? g?ie à gÿ? nò tepò? ná pi ?náa yets??. Nyì? cú? pwó letu?ó nyì?, á sele yets?? gw?? á mege ?cú?.","but I say unto you, That ye resist not evil: but whosoever shall smite thee on thy right cheek, turn to him the other also. # https://www.bible.com/fr/bible/1/MAT.5.KJV #39",,,,
"Nyì? fa’a lés?i?e nyì? j?’e ntsa?, pá’ à ge gwoon nzs? ngà? yé ma’ e k?é, àngà? pú ?nyé w??b yé fÿ??g né yé.","And if any man will sue thee at the law, and take away thy coat, let him havethycloke also. # https://www.bible.com/fr/bible/1/MAT.5.KJV #40",,,,
"Mékéle l?g t?? s???? nyì? ngie à kaa pì’ yé, ?d?g ?gi?e mmó tà’ kilometà lê gw??, á l?g ?gi?e nà mmó mekilometà méntá.","And whosoever shall compel thee to go a mile, go with him twain. # https://www.bible.com/fr/bible/1/MAT.5.KJV #41",,,,
Nyì? náa mmó mbwó nyì? g?ie à ne ?dú? mmó mbwó yé. Tà nyì? ké ?tém nzèm nyì? g?ie à z?té ngie à fuu yé mmó.,"Give to him that asketh thee, and from him that would borrow of thee turn not thou away. # https://www.bible.com/fr/bible/1/MAT.5.KJV #42",,,,
"Pi la jú’ ngie mé la g??n ngie: «Nyì? kwo?o f?? we nyì? meso?, ?b?a ngà? mbù we».","Ye have heard that it hath been said, Thou shalt love thy neighbour, and hate thine enemy. # https://www.bible.com/fr/bible/1/MAT.5.KJV #43",,,,
"!Tá’, mè? n g??n né pi ngie: Pi kwo? megà? mbù pi. [Pi s?í?te Ssé nà twó p??a pie p?? ny?? g?i ng??’].","But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you; # https://www.bible.com/fr/bible/1/MAT.5.KJV #44",,,,
"Pi l??n ?gÿo pú’u, mbà pi ge gw?? kwà’ pú? Tá g?i g?ie aa tÿ? lepwó. À gÿo nèm we t??a ná p??a tèpò? mb?? nà p??a membò?o, ?bi? ?gÿo mb??? luu ná p??a pie é kú’te*lep?? sé mb?? pie é té kú’te.","that ye may be the children of your Father which is in heaven: for he maketh his sun to rise on the evil and on the good, and sendeth rain on the just and on the unjust. # https://www.bible.com/fr/bible/1/MAT.5.KJV #45",,,,
"Pi l??n ?kwo? p?? ndá’ p??a pie p?? kwo?o g?í, mbà mé ge gí?e ná nd?g né pi ná k???*Pàk?é ncùb pà Roma gí?e ne ?gÿo y??b p?? pú’u.","For if ye love them which love you, what reward have ye? do not even the publicans the same? # https://www.bible.com/fr/bible/1/MAT.5.KJV #46",,,,
"Pi l??n ?tsy?’te p?? ndà’ mef?? pí, mbà pi gÿ? k?? yé s?é? Pàte zsé Ssé gí?e ne ?gÿo y??b p?? pú’u.","And if ye salute your brethren only, what do ye morethan others? do not even the publicans so? # https://www.bible.com/fr/bible/1/MAT.5.KJV #47",,,,
"Pú’u lá, pi gw?? pàtè*l??’, pá’ Tá g?i g?ie aa tÿ? lepwó aa tè*l??’","Be ye therefore perfect, even as your Father which is in heaven is perfect. # https://www.bible.com/fr/bible/1/MAT.5.KJV #48",,,,
"Y?sô gí?e ?g??n ngie: Pi l??n ?ge ?gÿo mmó gie*lep?? Ssé ne ?z??te, pi laga twó gí létó?o lá’ tá ?gÿo, á nà ntí gie mé ge ne líe g?í. Pi l??n ?gÿo pú’u, mbà Tá g?i g?ie aa tÿ? lepwó tè gÿo ts??’? fà’ gí w??.","Take heed that ye do not your alms before men, to be seen of them: otherwise ye have no reward of your Father which is in heaven. # https://www.bible.com/fr/bible/1/MAT.6.KJV #1",,,,
"?? l??n ?gee ?ná nkáb mbwó pàte mmó, tè gÿo pé pá’ mé ge tyé ne gyá. Megà?a ?á’te nn?? z?? gÿo pú’u. P?? kúu*ndá cú’tè, ?tyé mb?? metwó nzsè tá ?náa mmó, pú’u, ngie p??a g?’te w??b. Tà mè? shwó?ó g?í, kwà’ nén??, p?? n? ?da’ ?k?é nts?’?? fà’ w??b.","Therefore when thou doestthinealms, do not sound a trumpet before thee, as the hypocrites do in the synagogues and in the streets, that they may have glory of men. Verily I say unto you, They have their reward. # https://www.bible.com/fr/bible/1/MAT.6.KJV #2",,,,
"Tá á g?a ná gu, mbà ?? l??n ?ge ?ná nkáb mbwó pàte mmó, ?? p???n légÿo tà mbò? sh? gù zsé.","But when thou doest alms, let not thy left hand know what thy right hand doeth: # https://www.bible.com/fr/bible/1/MAT.6.KJV #3",,,,
"À c?a pú’u, ámmó gie ?? náa, à gw?? p?? ts??? ntsèm, Tá gù Ssé g?ie à gyá mmó gie mé náa ts??? ntsèm, à gÿo ?ts??’? fà’a jú.",that thine alms may be in secret: and thy Father which seeth in secret himself shall reward thee openly. # https://www.bible.com/fr/bible/1/MAT.6.KJV #4,,,,
"Pi l??n ne s?í?te Ssé, tà pi gÿo pá’ pà nkwò? menÿ??g, p?? kwo?o létyé ts???*mendá cú’tè mb?? metwó nzsè tá s?í?te Ssé, pá’ p??a metsèm ge gyá w??b. Tà mè? shwó?ó g?í, kwà’ nén??, p?? n? ?da’ ?k?é ?ts??’? fà’ w??b.","And when thou prayest, thou shalt not be as the hypocritesare: for they love to pray standing in the synagogues and in the corners of the streets, that they may be seen of men. Verily I say unto you, They have their reward. # https://www.bible.com/fr/bible/1/MAT.6.KJV #5",,,,
"Tá ?g?a ná gù, mbà ?? l??n ?ge s?í?te Ssé, ?? kúu ts??? lúm ndá, ?kábte ncwò ndá, ?né?e lely?en tá s?í?te Tá gù g?ie aa j?’e lely?en. Yé g?ie à gyá mmó gie ?? gÿo j?’? lely?en, à ge gÿo ts??’? fà’ jú.","But thou, when thou prayest, enter into thy closet, and when thou hast shut thy door, pray to thy Father which is in secret; and thy Father which seeth in secret shall reward thee openly. # https://www.bible.com/fr/bible/1/MAT.6.KJV #6",,,,
"Pi l??n ne s?í?te Ssé, tà pi g??n nò té zá’a pàa pá’ p??a pie é té Ssé zsé, p?? kwa? p?? ngie p?? ge g??n nò t?’ tá Ssé jú’.","But when ye pray, use not vain repetitions, as the heathendo: for they think that they shall be heard for their much speaking. # https://www.bible.com/fr/bible/1/MAT.6.KJV #7",,,,
